Player,Reel Skill,Skill,Skill Error,RS Rank,Skill Rank,Rank Error
Mr. Carroll Breitenberg Jr.,38.00,59.92,-21.92,2,1,1
Levi Nader,38.00,57.97,-19.97,1,3,-2
Luz Stehr,35.00,57.40,-22.40,3,5,-2
Charla Hoeger,33.00,59.48,-26.48,4,2,2
Aydan Grimes,32.00,57.66,-25.66,5,4,1
Lena Heller,28.00,55.61,-27.61,6,7,-1
Camilla Toy,27.00,54.25,-27.25,7,11,-4
Mr. Ceasar Spinka V,25.00,55.70,-30.70,8,6,2
Dr. Shan Bogisich Jr.,24.00,55.03,-31.03,10,10,0
Ms. Marlo Kihn,24.00,55.19,-31.19,9,9,0
Kingston McDermott,20.00,50.85,-30.85,12,13,-1
Norton Prosacco,20.00,53.64,-33.64,11,12,-1
Eber Stracke,19.00,50.26,-31.26,13,14,-1
Daijah Huel,18.00,55.50,-37.50,14,8,6
Chessie Wolf,11.00,46.90,-35.90,15,15,0
