Player,Reel Skill,Skill,Skill Error,RS Rank,Skill Rank,Rank Error
Sydni Cassin,33.00,54.79,-21.79,1,8,-7
Victoria Monahan,26.00,54.39,-28.39,2,10,-8
Miss S.S.MD,23.00,56.50,-33.50,4,2,2
Kinsey Block,23.00,55.01,-32.01,3,7,-4
Kolton Leffler,22.00,55.59,-33.59,6,5,1
Horton Russel,22.00,57.70,-35.70,5,1,4
Pamelia Labadie,21.00,55.59,-34.59,10,6,4
Dr. Dayna K.,21.00,55.60,-34.60,9,4,5
Payton Doyle,21.00,56.16,-35.16,8,3,5
Mr. Turner West II,21.00,53.55,-32.55,7,13,-6
Pierre Mann I,19.00,54.68,-35.68,11,9,2
Clovis Hegmann,18.00,54.05,-36.05,12,11,1
Nannette Kemmer,16.00,50.38,-34.38,13,14,-1
Breanna Abshire,15.00,53.63,-38.63,14,12,2
Vernell Ebert,11.00,49.26,-38.26,15,15,0
