Player,Reel Skill,Skill,Skill Error,RS Rank,Skill Rank,Rank Error
Mr. Carroll B.Jr.,38.00,39.02,-1.02,2,1,1
Levi Nader,38.00,35.37,2.63,1,2,-1
Luz Stehr,35.00,31.14,3.86,3,4,-1
Charla Hoeger,33.00,29.73,3.27,4,5,-1
Aydan Grimes,32.00,32.68,-0.68,5,3,2
Lena Heller,28.00,28.64,-0.64,6,6,0
Camilla Toy,27.00,20.42,6.58,7,10,-3
Mr. Ceasar S.V,25.00,20.54,4.46,8,9,-1
Dr. Shan B.Jr.,24.00,21.95,2.05,10,7,3
Ms. Marlo Kihn,24.00,21.91,2.09,9,8,1
Kingston McD.,20.00,12.54,7.46,12,13,-1
Norton Prosacco,20.00,19.08,0.92,11,11,0
Eber Stracke,19.00,12.13,6.87,13,14,-1
Daijah Huel,18.00,17.61,0.39,14,12,2
Chessie Wolf,11.00,8.49,2.51,15,15,0
